title,author,length
The Almanack of Naval Ravikant (Marathi Edition),Eric Jorgenson,Length: 4 hrs and 37 mins
The Fish in the Sea Is Not Thirsty,Osho,Length: 26 hrs and 4 mins
Sherlock Holmes and the Three Winter Terrors,James Lovegrove,Length: 10 hrs and 46 mins
The Cuckoo's Egg,Cliff Stoll,Length: 12 hrs and 46 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 41 mins
33 Strategies of War,Robert Greene,Length: 27 hrs and 30 mins
The Picture of Dorian Gray,Oscar Wilde,Length: 8 hrs and 35 mins
Ikigai (Marathi Edition),"Hector Garcia,Fransesc Miralles,Prasad Dhapre - translator",Length: 4 hrs and 8 mins
The Diary of a Young Girl [Hindi],Anne Frank,Length: 11 hrs and 41 mins
Siva,Ramesh Menon,Length: 14 hrs and 4 mins
Our Story of Love,Keshav Aneel,Length: 4 hrs and 35 mins
No More Mr. Nice Guy,Dr Robert Glover,Length: 6 hrs and 49 mins
Shivaji,Dennis Kincaid,Length: 7 hrs and 28 mins
The Writer on the Hill,Ruskin Bond,Length: 15 hrs and 20 mins
Effective Communication Skills,"Dalton Kehoe,The Great Courses",Length: 11 hrs and 53 mins
Sivagamiyin Sabatham (Tamil Edition),Kalki,Length: 28 hrs and 53 mins
The Seven Principles for Making Marriage Work,"John M. Gottman PhD,Nan Silver",Length: 10 hrs and 17 mins
Aftermath,Craig Alanson,Length: 19 hrs and 10 mins
The Contract,Melanie Moreland,Length: 8 hrs and 43 mins
The Takedown,Lily Chu,Length: 10 hrs and 55 mins
The Brain Fog Fix,Dr. Mike Dow,Length: 7 hrs and 43 mins
Anahad Mein Bisram,OSHO,Length: 15 hrs and 45 mins
Strategy,Lawrence Freedman,Length: 32 hrs and 4 mins
Red Rabbit,Tom Clancy,Length: 26 hrs and 20 mins
Summary of Ikigai (Tamil Edition),Audiomatic.in,Length: 26 mins
Airport,Arthur Hailey,Length: 19 hrs and 17 mins
Her Last Wish,Ajay K. Pandey,Length: 6 hrs and 54 mins
David Attenborough - Life on Air,David Attenborough,Length: 19 hrs and 23 mins
The 7 Principles of Public Speaking,Richard Zeoli,Length: 5 hrs
The Dhandho Investor,Mohnish Pabrai,Length: 5 hrs and 4 mins
Somnath (Hindi Edition),Acharya Chatursen,Length: 19 hrs and 47 mins
Get Epic Shit Done,Ankur Warikoo,Length: 4 hrs and 5 mins
7 Secrets of the Goddess,Devdutt Pattanaik,Length: 4 hrs and 38 mins
Napoleon Hill's Master Course,Napoleon Hill,Length: 15 hrs and 46 mins
The Jane Austen Collection,Jane Austen,Length: 45 hrs
The Dhandho Investor,Mohnish Pabrai,Length: 5 hrs and 4 mins
Somnath (Hindi Edition),Acharya Chatursen,Length: 19 hrs and 47 mins
"The Tantra Experience (The Tantra Vision, Vol. 1)",Osho,Length: 16 hrs and 21 mins
Get Epic Shit Done,Ankur Warikoo,Length: 4 hrs and 5 mins
7 Secrets of the Goddess,Devdutt Pattanaik,Length: 4 hrs and 38 mins
Napoleon Hill's Master Course,Napoleon Hill,Length: 15 hrs and 46 mins
The Jane Austen Collection,Jane Austen,Length: 45 hrs
The Velveteen Rabbit,Margery Williams,Length: 24 mins
Subtle Art of Not Giving a F--k (Hindi Edition),"Mark Manson,Urmila Gupta - translator",Length: 6 hrs and 18 mins
Kadal Pura - Part 1,Sandilyan,Length: 10 hrs and 11 mins
David Attenborough - Life on Air,David Attenborough,Length: 19 hrs and 23 mins
Summary of Ikigai (Tamil Edition),Audiomatic.in,Length: 26 mins
"Parthiban Kanavu - Part 3 [Parthiban's Dream, Part 3]",Kalki,Length: 6 hrs and 28 mins
Jeevan Ke Arth Ki Talaash Me Manushya [Man's Search for Meaning],Viktor E Frankl,Length: 7 hrs and 33 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
The Screwtape Letters,C. S. Lewis,Length: 3 hrs and 36 mins
Think like a Stoic,"Massimo Pigliucci,The Great Courses",Length: 11 hrs and 10 mins
David Copperfield,Charles Dickens,Length: 36 hrs and 30 mins
The Hero of Tiger Hill,Capt (Hony) Yogendra Singh Yadav,Length: 5 hrs and 32 mins
Lekha (Hindi Edition),Eva,Length: 16 hrs and 26 mins
Mathematical Mindsets,"Jo Boaler,Carol Dweck - Foreword",Length: 8 hrs and 46 mins
The Secret of Secrets,Osho,Length: 53 hrs and 32 mins
That Night (Hindi Edition),Nidhi Upadhyay,Length: 7 hrs and 46 mins
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,Length: 11 hrs and 31 mins
Crave,Tracy Wolff,Length: 14 hrs and 56 mins
Starfish Pickle,Bina Nayak,Length: 6 hrs and 47 mins
Evolve Your Brain,Joe Dispenza,Length: 18 hrs and 37 mins
The Essence of the Bhagavad Gita,Swami Kriyananda,Length: 19 hrs and 47 mins
Abhigyan Shakuntal,Kalidas,Length: 4 hrs and 41 mins
Megaliving (Hindi),Robin Sharma,Length: 9 hrs and 24 mins
Malaikallan,Namakkal Kavignar,Length: 9 hrs and 9 mins
Sons of Valor III: War Machine,"Brian Andrews,Jeffrey Wilson",Length: 11 hrs and 28 mins
The Locked Door,Freida McFadden,Length: 8 hrs and 15 mins
The Diary of a Young Girl [Hindi],Anne Frank,Length: 11 hrs and 41 mins
Your Brain Is Always Listening,Daniel G. Amen,Length: 8 hrs and 39 mins
Homeless to Billionaire,"Andres Pira,Dr. Joe Vitale - collaborator",Length: 4 hrs and 42 mins
Designing Destiny,Kamlesh D. Patel,Length: 6 hrs and 17 mins
Ramayana Versus Mahabharata,Devdutt Pattanaik,Length: 5 hrs and 13 mins
Eat That Frog! (Tamil Edition),Brian Tracy,Length: 4 hrs and 16 mins
The Parasitic Mind,Gad Saad,Length: 7 hrs and 36 mins
Preceptor,Terry Mancour,Length: 23 hrs and 11 mins
"The Dhammapada, Vol. 1",Osho,Length: 17 hrs and 51 mins
How to Train Your Mind,Chris Bailey,Length: 3 hrs and 18 mins
"Summary of Rich Dad, Poor Dad (Tamil Edition)",Audiomatic.in,Length: 28 mins
Being Ram Dass,"Rameshwar Das,Ram Dass",Length: 18 hrs and 1 min
Seva Sadan (Hindi Edition),Premchand,Length: 12 hrs and 40 mins
"Parthiban Kanavu - Part 1 [Parthiban's Dream, Part 1]",Kalki,Length: 1 hr and 48 mins
Mini Habits for Weight Loss,Stephen Guise,Length: 10 hrs and 15 mins
The Little Book of Trading,Michael Covel,Length: 4 hrs and 38 mins
The 10X Rule,Grant Cardone,Length: 7 hrs and 24 mins
Secrets of Super Success (Hindi Edition),Subhash Lakhotia,Length: 4 hrs and 14 mins
One Last Time,Corinne Michaels,Length: 9 hrs and 4 mins
Vandargal Vendrargal,Madhan,Length: 12 hrs and 43 mins
The Dance of Anger,Harriet Lerner,Length: 6 hrs and 50 mins
Frankenstein,Mary Shelley,Length: 8 hrs and 35 mins
No Calculator? No Problem!,"Art Benjamin,The Great Courses",Length: 5 hrs and 46 mins
Hidden Potential,Adam Grant,Length: 7 hrs and 21 mins
Brave New World,Aldous Huxley,Length: 8 hrs
A Political History of the World,Jonathan Holslag,Length: 15 hrs and 5 mins
Something Fresh,P. G. Wodehouse,Length: 7 hrs and 15 mins
Million Dollar Habits,Brian Tracy,Length: 8 hrs and 3 mins
Sons of Valor III: War Machine,"Brian Andrews,Jeffrey Wilson",Length: 11 hrs and 28 mins
Public Speaking for Success,Dale Carnegie,Length: 15 hrs and 28 mins
Sita: Warrior of Mithila,Amish,Length: 11 hrs and 10 mins
#Tatastories,Harish Bhat,Length: 6 hrs and 33 mins
The Perfect Son,Freida McFadden,Length: 7 hrs and 58 mins
How Not to Age,Michael Greger,Length: 27 hrs and 57 mins
Moriarty: The Silent Order,Charles Kindinger,Length: 5 hrs and 13 mins
Business Sutra,Devdutt Pattanaik,Length: 11 hrs and 26 mins
The Shortest History of India,John Zubrzycki,Length: 7 hrs and 44 mins
Dating Essentials for Men: Frequently Asked Questions,Dr. Robert Glover,Length: 9 hrs and 57 mins
"Think Faster, Talk Smarter",Matt Abrahams,Length: 7 hrs and 11 mins
Napoleon Hill's Golden Rules,Napoleon Hill,Length: 6 hrs and 57 mins
Eden,Devdutt Pattanaik,Length: 10 hrs and 1 min
Arabian Nights: Volume 1,Marty Ross,Length: 8 hrs and 20 mins
Dharma (Hindi Edition),Amish Tripathi,Length: 5 hrs and 9 mins
Yoga Nidra,Kamini Desai PhD,Length: 15 hrs and 17 mins
Absolute Tao,OSHO,Length: 15 hrs and 15 mins
Experiments in Truth,Ram Dass,Length: 7 hrs and 41 mins
World War II: A Military and Social History,"Thomas Childers,The Great Courses",Length: 15 hrs and 7 mins
The Sands of Time,Sidney Sheldon,Length: 3 hrs and 1 min
Cultivating an Unshakable Character,Jim Rohn,Length: 6 hrs and 31 mins
It Happens for a Reason,Preeti Shenoy,Length: 7 hrs and 42 mins
"HBR's 10 Must Reads on Managing Yourself, Vol. 2",Harvard Business Review,Length: 4 hrs and 57 mins
Rich Dad's Before You Quit Your Job,Robert T. Kiyosaki,Length: 7 hrs and 58 mins
Swami Aur Uske Dost [Owner and His Friends],R.K. Narayan,Length: 5 hrs and 25 mins
"Understanding Genetics: DNA, Genes, and Their Real-World Applications","David Sadava,The Great Courses",Length: 12 hrs and 3 mins
80 Din Mein Duniya Ki Sair [Around the World in 80 Days],Jules Verne,Length: 2 hrs and 8 mins
Summary of How to Win Friends and Influence People (Hindi Edition),Audiomatic.in,Length: 29 mins
World Without End,Ken Follett,Length: 45 hrs and 34 mins
A Brief History of Japan,Jonathan Clements,Length: 8 hrs and 41 mins
The Mists of Brahma,Christopher C. Doyle,Length: 11 hrs and 4 mins
Double Down,Jeff Kinney,Length: 2 hrs and 25 mins
"Change Your Thinking, Change Your Life",Brian Tracy,Length: 8 hrs and 57 mins
Indra Nooyi - A Biography,Annapoorna,Length: 4 hrs and 14 mins
Mahayoddha Kalki: Sword of Shiva,Kevin Missal,Length: 9 hrs and 30 mins
Macroeconomics,Felipe B. Larrain,Length: 6 hrs and 4 mins
Swayam Mein Vishwas [Believe in Yourself],Joseph Murphy,Length: 1 hr and 49 mins
The Dragon’s Toothache,Annie Besant,Length: 11 mins
Head Held High,Vishwas Nangre Patil,Length: 9 hrs and 12 mins
The Picture of Dorian Gray,Oscar Wilde,Length: 5 hrs and 16 mins
101 Essays That Will Change the Way You Think,Brianna Wiest,Length: 10 hrs and 45 mins
Impact Winter Season 2,Travis Beacham,Length: 5 hrs and 38 mins
Satyayoddha Kalki: Eye of Brahma,Kevin Missal,Length: 12 hrs and 1 min
"A Random Walk Down Wall Street, 12th Edition",Burton G. Malkiel,Length: 11 hrs and 42 mins
It's Not Luck,Eliyahu M. Goldratt,Length: 8 hrs and 30 mins
The Mind of the Leader,"Rasmus Hougaard,Jacqueline Carter,Arne Sorenson - Foreword by",Length: 8 hrs and 28 mins
